comment,"1 kg H2 produced using a PEM electrolyzer. Original source: 1 MW PEM electrolyzer based on Niklas Gerloff, Comparative Life-Cycle-Assessment analysis of three major water electrolysis technologies while applying various energy scenarios for a greener hydrogen production, Journal of Energy Storage, Volume 43, 2021, https://doi.org/10.1016/j.est.2021.102759.
Further refined (with respect to stack and system lifetime and water use, notably) from data from manufacturer's specifications (see tab ""Manufacturers' data"") and IndWEDe project report (https://www.now-gmbh.de/wp-content/uploads/2020/09/181127_bro_a4_indwede-studie_kurzfassung_de_v03.pdf). For further secifications (e.g., efficiency, lifetime, etc.), see tab ""Final specifications"".",,,,,,,,,,,,,,,,,,
reference product,"hydrogen, gaseous, 30 bar",,,,,,,,,,,,,,,,,,
location,FR,,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,comment,,,,,,,,,,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050",1.00E+00,FR,kilogram,,production,"hydrogen, gaseous, 30 bar",,,,,,,,,,,,,
"electrolyzer production, 1MWe, PEM, Stack",1.34989E-06,RER,unit,,technosphere,"electrolyzer, 1MWe, PEM, Stack","Stack, 5.5 years lifetime.",,,,,,,,,,,,
"electrolyzer production, 1MWe, PEM, Balance of Plant",3.37473E-07,RER,unit,,technosphere,"electrolyzer, 1MWe, PEM, Balance of Plant","BoP, 20 years lifetime.",,,,,,,,,,,,
"treatment of fuel cell stack, 1MWe, PEM",-1.34989E-06,RER,unit,,technosphere,"used fuel cell stack, 1MWe, PEM",Stack EoL,,,,,,,,,,,,
"treatment of fuel cell balance of plant, 1MWe, PEM",-3.37473E-07,RER,unit,,technosphere,"used fuel cell balance of plant, 1MWe, PEM",BoP EoL,,,,,,,,,,,,
"market group for electricity, low voltage",5.40E+01,RER,kilowatt hour,,technosphere,"electricity, low voltage",Electricity consumption with 61.7% eff.,,,,,,,,,,,,
"market for water, deionised",1.40E+01,Europe without Switzerland,kilogram,,technosphere,"water, deionised","A perfect reaction of H2O results in 1 kg H2 and 8 kg O2, and needs 9 kg H2O, however, considering some losses we assume 14 kg H2O (Simoes et al., 2021). ",,,,,,,,,,,,
Oxygen,8.00E+00,,kilogram,air,biosphere,,,,,,,,,,,,,,
"Occupation, unspecified",6.07E-04,,square meter-year,natural resource::land,biosphere,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Activity,"hydrogen, recovered from coke oven gas, FE2050",,,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,,
comment,"1 kg of hydrogen recovered from coke oven gas. After benzol absorption step, gas stream is being subjected to the reforming technology, which comprises the following process units: coke oven gas reforming
system, oxygen production installation, CO conversion system and the hydrolysis of COS, desulphurization system and CO2 removal system, H2 separation system and other plant. Although not specified, the oxygen and steam requirement is assumed to come from the coking step, hence, not listed as inventory inputs. Adapted to French context. Burmistrz et al., 2016. DOI: 10.1051/e3sconf/20161000023",,,,,,,,,,,,,,,,,,
reference product,"hydrogen, gaseous",,,,,,,,,,,,,,,,,,
location,FR,,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,,
name,amount,location,unit,type,reference product,categories,comment,,,,,,,,,,,,
"hydrogen, recovered from coke oven gas, FE2050",1.00E+00,FR,kilogram,production,"hydrogen, gaseous",,,,,,,,,,,,,,
coking,1.23E+02,DE,megajoule,technosphere,coal gas,,,,,,,,,,,,,,
coking,1.34E+00,DE,kilogram,technosphere,coal tar,,,,,,,,,,,,,,
market for tap water,4.03E+00,Europe without Switzerland,kilogram,technosphere,tap water,,,,,,,,,,,,,,
"Carbon dioxide, fossil",8.34E+00,,kilogram,biosphere,,air,,,,,,,,,,,,,
"market for electricity, medium voltage",4.64E+00,FR,kilowatt hour,technosphere,"electricity, medium voltage",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Activity,"hydrogen, recovered from coke oven gas, with carbon capture and storage, FE2050",,,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,,
comment,"1 kg of hydrogen recovered from coke oven gas. After benzol absorption step, gas stream is being subjected to the reforming technology, which comprises the following process units: coke oven gas reforming
system, oxygen production installation, CO conversion system and the hydrolysis of COS, desulphurization system and CO2 removal system, H2 separation system and other plant. Although not specified, the oxygen and steam requirement is assumed to come from the coking step, hence, not listed as inventory inputs. Carbon dioxide is transported in the liquid phase. The pressure at the inlet to a transport system (pipe) is
120 bar, which allows to transport of CO2 at about 100 - 150 km distance without additional compression Adapted to French context. Burmistrz et al., 2016. DOI: 10.1051/e3sconf/20161000023",,,,,,,,,,,,,,,,,,
reference product,"hydrogen, gaseous",,,,,,,,,,,,,,,,,,
location,FR,,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,,
name,amount,location,unit,type,reference product,categories,comment,,,,,,,,,,,,
"hydrogen, recovered from coke oven gas, with carbon capture and storage, FE2050",1.00E+00,FR,kilogram,production,"hydrogen, gaseous",,,,,,,,,,,,,,
coking,1.23E+02,DE,megajoule,technosphere,coal gas,,,,,,,,,,,,,,
coking,1.34E+00,DE,kilogram,technosphere,coal tar,,,,,,,,,,,,,,
market for tap water,4.03E+00,Europe without Switzerland,kilogram,technosphere,tap water,,,,,,,,,,,,,,
"market for electricity, medium voltage",4.64E+00,FR,kilowatt hour,technosphere,"electricity, medium voltage",,,,,,,,,,,,,,
"market for electricity, medium voltage",7.00E-01,FR,kilowatt hour,technosphere,"electricity, medium voltage",,,,,,,,,,,,,,
